training_sample_size,sampling_seed,random_repeat,random_seed,exact_probability_raising_count,mean_exact_probability_difference,mean_exact_candidate_reachability
500,42.0,34,504575,12,0.032658336268002824,0.30399362790154727
500,42.0,35,504576,9,0.017249503843908838,0.24729443793298483
500,42.0,36,504577,9,0.017858950259565458,0.27698265875420636
500,42.0,37,504578,7,0.0008852320078954543,0.4211106663753822
500,42.0,38,504579,8,0.011504317187704307,0.3026811960145766
500,42.0,39,504580,9,0.01005937034756749,0.24558030556395619
500,42.0,40,504581,14,0.03508202119017663,0.13868667149502864
500,42.0,41,504582,11,0.027400633580232214,0.2649259348165702
500,42.0,42,504583,9,0.01308037395909597,0.36567359183595755
500,42.0,43,504584,7,0.013842639790722724,0.3112207950855423
500,42.0,44,504585,10,0.024390805191476735,0.2555603081621461
500,42.0,45,504586,7,0.02521569104888214,0.26933626340288574
500,42.0,46,504587,8,0.022549517264357763,0.3388192150366499
500,42.0,47,504588,13,0.03577754661676574,0.1846390787245239
500,42.0,48,504589,8,0.018687779899523395,0.32839434480418644
500,42.0,49,504590,8,0.013882836200409568,0.298303747227403
500,42.0,50,504591,10,0.024092526182811137,0.2263766463177847
500,42.0,51,504592,9,0.024107798614692328,0.27510080292003114
500,42.0,52,504593,9,0.023355865837520206,0.21683560995056966
500,42.0,53,504594,9,0.0039269920125977005,0.3917148139290843
500,42.0,54,504595,7,0.01421851349762104,0.34365284305706734
500,42.0,55,504596,5,0.0027314527482369044,0.32533979362839427
500,42.0,56,504597,7,0.005084693939785149,0.24050754498870708
500,42.0,57,504598,9,0.027867248769862407,0.20640114556693895
500,42.0,58,504599,13,0.035569417440998286,0.22027133437431368
500,42.0,59,504600,8,0.0031559219825898683,0.2820904421364544
500,42.0,60,504601,6,0.010848002807703969,0.3764810524477909
500,42.0,61,504602,6,-0.0037596586185649206,0.36213155366196176
500,42.0,62,504603,11,0.038398397562089154,0.21551581518205612
500,42.0,63,504604,6,0.010648526191754585,0.3844122487693196
500,42.0,64,504605,10,0.024856676855617495,0.2505811368346532
500,42.0,65,504606,13,0.04085532631442414,0.21111558559464333
500,42.0,66,504607,6,0.005933372646845089,0.2765423817942445
500,42.0,67,504608,6,0.005810974950057664,0.5037095543843131
500,42.0,68,504609,7,0.020409020314857577,0.23549834171793838
500,42.0,69,504610,7,0.00545824447249612,0.3759657289629153
500,42.0,70,504611,11,0.020416270040673434,0.20438343519922592
500,42.0,71,504612,6,0.014691782648465703,0.2390319369758947
500,42.0,72,504613,11,0.032032037457635026,0.23125346068670244
500,42.0,73,504614,8,0.015067567806929036,0.37994430201108653
500,42.0,74,504615,11,0.034433527492641336,0.27925528662822474
500,42.0,75,504616,7,0.009599863396777484,0.35116678581554084
500,42.0,76,504617,11,0.026365825867201605,0.2538337320838979
500,42.0,77,504618,7,0.02251711006294947,0.2976904976892114
500,42.0,78,504619,9,0.031721815185992305,0.18593750958334526
500,42.0,79,504620,9,0.01777853581622651,0.2990269064754628
500,42.0,80,504621,12,0.032696527815473074,0.21186833956444198
500,42.0,81,504622,8,0.01979175855960297,0.27775624685807027
500,42.0,82,504623,13,0.03784504946866087,0.18179779553891925
500,42.0,83,504624,8,0.018009229366214723,0.3394208920126727
500,42.0,84,504625,7,0.029003841713548494,0.37583865824399215
500,42.0,85,504626,9,0.0160299834864071,0.24078273781193058
500,42.0,86,504627,5,0.004258364074180855,0.3473214598174233
500,42.0,87,504628,8,0.01647971193159702,0.2903037025340428
500,42.0,88,504629,8,0.016226773787493407,0.2750235843209284
500,42.0,89,504630,7,0.003679681671426385,0.3072973663327293
500,42.0,90,504631,9,0.022441933000120123,0.3090486194286703
500,42.0,91,504632,7,0.014117664344139413,0.35414176319799295
500,42.0,92,504633,5,0.008784111586970452,0.3389591437413065
500,42.0,93,504634,10,0.033683061278678185,0.1817314840917443
500,42.0,94,504635,8,-0.0013092245899507609,0.37213902312440933
500,42.0,95,504636,11,0.0271914619683525,0.195271338736142
500,42.0,96,504637,8,0.00845184485294313,0.2382762315519221
500,42.0,97,504638,11,0.03438398724067906,0.287321563878319
500,42.0,98,504639,8,0.004797393927939305,0.2712923570404456
500,42.0,99,504640,9,0.02045156165431781,0.2770426901148671
500,42.0,100,504641,4,-0.00464698858918497,0.32346000618852355
500,123.0,1,504623,8,0.004442267517479374,0.20548392690544864
500,123.0,2,504624,10,0.029232469274905554,0.15771231824743706
500,123.0,3,504625,7,0.006526316228961311,0.35465856461300627
500,123.0,4,504626,11,0.019788904952944157,0.2339118455860604
500,123.0,5,504627,7,0.008980680191819764,0.25218779576990613
500,123.0,6,504628,8,0.028380062598987777,0.3039107057686283
500,123.0,7,504629,12,0.04037855778175459,0.18240839743013532
500,123.0,8,504630,9,0.01792796858729476,0.26619009178981323
500,123.0,9,504631,11,0.024191196487744086,0.22957832637229006
500,123.0,10,504632,11,0.014324399513144539,0.2870517865198806
500,123.0,11,504633,9,0.025242904819971095,0.18160949344111282
500,123.0,12,504634,11,0.02948484816750948,0.17581505452363344
500,123.0,13,504635,15,0.035132083517343766,0.17731782658978404
500,123.0,14,504636,11,0.022853657489398386,0.1959226070965643
500,123.0,15,504637,14,0.03283142270563133,0.19909614500595682
500,123.0,16,504638,12,0.03336104782515479,0.22437223643133808
500,123.0,17,504639,7,0.01696441155016869,0.2340578934062693
500,123.0,18,504640,12,0.04027415837830729,0.28427373540917744
500,123.0,19,504641,9,0.013567004147004472,0.24347192276359464
500,123.0,20,504642,9,0.024387500436599988,0.25644692423980653
500,123.0,21,504643,10,0.031265306285549965,0.2983415843002165
500,123.0,22,504644,11,0.03327305941471759,0.2666822156244882
500,123.0,23,504645,8,0.01183482867922869,0.30419580792646833
500,123.0,24,504646,9,0.017348303022893717,0.3444896077678081
500,123.0,25,504647,12,0.026358208538625215,0.1981541668040365
500,123.0,26,504648,7,0.023599415653589226,0.30182611263981146
500,123.0,27,504649,10,0.030391710535523843,0.2153869638090195
500,123.0,28,504650,9,0.017942088822135573,0.28952218210328495
500,123.0,29,504651,8,0.02062209990525632,0.3148856346176395
500,123.0,30,504652,12,0.03341515010156908,0.24868545671987236
500,123.0,31,504653,14,0.03489021753364836,0.16191542882731624
500,123.0,32,504654,11,0.02218260673351357,0.25847111680080237
500,123.0,33,504655,9,0.01901687979800117,0.2311635735800695
500,123.0,34,504656,10,0.02531656402553658,0.29351776612474423
500,123.0,35,504657,9,0.024645768174409045,0.37449513201002643
500,123.0,36,504658,12,0.029299705022332277,0.29321743624473
500,123.0,37,504659,11,0.02737801193527318,0.20501105854340337
500,123.0,38,504660,10,0.022217981385676197,0.3005119553153347
500,123.0,39,504661,10,0.018716171461979205,0.23107623583285317
500,123.0,40,504662,11,0.02626777427628117,0.2693493108714221
500,123.0,41,504663,8,0.01796484150603124,0.3378596785930622
500,123.0,42,504664,10,0.024611426645167255,0.31208892083334827
500,123.0,43,504665,10,0.015488984976787624,0.29855866833738265
500,123.0,44,504666,9,0.007305846340252059,0.30738013567787353
500,123.0,45,504667,14,0.03825988366848538,0.17730243504899676
500,123.0,46,504668,7,0.014457000602264698,0.3055366348574759
500,123.0,47,504669,9,0.024716039240273623,0.31282129759170063
500,123.0,48,504670,9,0.027656049263172368,0.29679280446548906
500,123.0,49,504671,9,0.017790741942830254,0.2936868762918704
500,123.0,50,504672,11,0.024304545232605685,0.2544748231762167
500,123.0,51,504673,9,0.02265192152546547,0.2929235270063665
500,123.0,52,504674,11,0.032214215753243756,0.1561896658334671
500,123.0,53,504675,12,0.034945462765553464,0.21638050055489502
500,123.0,54,504676,7,0.017902748908126622,0.23565298936131618
500,123.0,55,504677,8,0.024935177839017848,0.2643123544159321
500,123.0,56,504678,10,0.03376184181104323,0.30141979594333257
500,123.0,57,504679,8,0.014262505829467503,0.3276667147477521
500,123.0,58,504680,12,0.030423308513520618,0.28621182531156114
500,123.0,59,504681,11,0.018801848425014117,0.26586452024646157
500,123.0,60,504682,12,0.043859158183767344,0.1525158410250833
500,123.0,61,504683,6,0.01259152690622185,0.4067764044504532
500,123.0,62,504684,10,0.01430117410243743,0.19280371082032857
500,123.0,63,504685,12,0.03815322490683872,0.1962447048829447
500,123.0,64,504686,5,0.008537890350163712,0.39982238265296977
500,123.0,65,504687,10,0.027872210605249838,0.36722511170091626
500,123.0,66,504688,8,0.011029348817304918,0.32993419027265175
500,123.0,67,504689,11,0.01741187545301245,0.2919520224741695
500,123.0,68,504690,9,0.02414225852152248,0.24536830130605752
500,123.0,69,504691,11,0.01853886862444356,0.22476500722136938
500,123.0,70,504692,8,0.01698338832070647,0.3321687116679619
500,123.0,71,504693,9,0.015897378590882652,0.31256091290267657
500,123.0,72,504694,7,-0.00043088654430366996,0.3930627600649956
500,123.0,73,504695,10,0.032243322625362114,0.26011952166052366
500,123.0,74,504696,9,0.034136857125314224,0.28621717468411284
500,123.0,75,504697,10,0.036240596296177166,0.20738802648720683
500,123.0,76,504698,10,0.01661486307692834,0.23041267232973736
