training_sample_size,number_of_repeats,exact_probability_raising_count_mean,exact_probability_raising_count_std,exact_probability_raising_count_min,exact_probability_raising_count_max,exact_probability_raising_count_ci95_low,exact_probability_raising_count_ci95_high,exact_probability_raising_fraction_mean,exact_probability_raising_fraction_std,exact_probability_raising_fraction_min,exact_probability_raising_fraction_max,exact_probability_raising_fraction_ci95_low,exact_probability_raising_fraction_ci95_high,mean_exact_probability_difference_mean,mean_exact_probability_difference_std,mean_exact_probability_difference_min,mean_exact_probability_difference_max,mean_exact_probability_difference_ci95_low,mean_exact_probability_difference_ci95_high,median_exact_probability_difference_mean,median_exact_probability_difference_std,median_exact_probability_difference_min,median_exact_probability_difference_max,median_exact_probability_difference_ci95_low,median_exact_probability_difference_ci95_high,maximum_exact_probability_difference_mean,maximum_exact_probability_difference_std,maximum_exact_probability_difference_min,maximum_exact_probability_difference_max,maximum_exact_probability_difference_ci95_low,maximum_exact_probability_difference_ci95_high,mean_exact_candidate_reachability_mean,mean_exact_candidate_reachability_std,mean_exact_candidate_reachability_min,mean_exact_candidate_reachability_max,mean_exact_candidate_reachability_ci95_low,mean_exact_candidate_reachability_ci95_high,positive_empirical_negative_exact_count_mean,positive_empirical_negative_exact_count_std,positive_empirical_negative_exact_count_min,positive_empirical_negative_exact_count_max,positive_empirical_negative_exact_count_ci95_low,positive_empirical_negative_exact_count_ci95_high,negative_empirical_positive_exact_count_mean,negative_empirical_positive_exact_count_std,negative_empirical_positive_exact_count_min,negative_empirical_positive_exact_count_max,negative_empirical_positive_exact_count_ci95_low,negative_empirical_positive_exact_count_ci95_high
500,5,8.6,2.3021728866442674,6.0,12.0,6.582056492366548,10.617943507633452,0.43000000000000005,0.11510864433221338,0.3,0.6,0.32910282461832746,0.5308971753816727,0.012960449146285241,0.011589720632720436,0.0010313934093039996,0.027041255692427234,0.002801611101687293,0.02311928719088319,-0.00480651860932844,0.008115882876047224,-0.010222452965408,0.009258503452607699,-0.011920403606169533,0.002307366387512652,0.14540769408000848,0.0036747879692341405,0.1413821655504122,0.148091379766406,0.14218660040478295,0.148628787755234,0.2536437477863035,0.06285490191413275,0.19852103184341788,0.3559564431013545,0.19854899709386317,0.3087384984787438,9.0,2.345207879911715,7.0,12.0,6.944334657586503,11.055665342413498,2.2,0.8366600265340756,1.0,3.0,1.4666351521923078,2.9333648478076926
1000,5,10.8,2.3874672772626644,8.0,14.0,8.707292662601864,12.892707337398138,0.54,0.11937336386313319,0.4,0.7,0.4353646331300932,0.6446353668699069,0.025032796387007606,0.011018115588358846,0.010503808252030362,0.03665121418236242,0.01537499225471558,0.03469060051929963,0.00246297882647562,0.012387784068063125,-0.0119585286498811,0.0114986252492224,-0.008395392662101367,0.013321350315052606,0.14404820799635176,0.006035453894735835,0.1345847351321287,0.148091379766406,0.13875789940434324,0.14933851658836028,0.22608955568619185,0.06700285493600741,0.177731032023785,0.3404116939761798,0.16735896386339166,0.28482014750899204,6.0,3.082207001484488,3.0,10.0,3.298326444590317,8.701673555409684,1.6,1.140175425099138,0.0,3.0,0.6005921753358143,2.599407824664186
2500,5,11.6,2.3021728866442674,8.0,14.0,9.582056492366547,13.617943507633452,0.5800000000000001,0.11510864433221338,0.4,0.7,0.4791028246183275,0.6808971753816727,0.02842799484361882,0.018658592710122365,0.0035356935718239696,0.05366234563859344,0.01207301723120709,0.04478297245603055,0.010611466885696278,0.01461274871291466,-0.010222452965408,0.0310240334428369,-0.0021971721027020177,0.023420105874094575,0.14272400839361093,0.0030004518125140173,0.1413821655504122,0.148091379766406,0.14009399642094136,0.1453540203662805,0.21452268650348244,0.039168988744457636,0.17034592020340203,0.2735063626618328,0.18018955409801013,0.24885581890895475,4.8,2.280350850198276,2.0,7.0,2.8011843506716283,6.798815649328372,1.8,1.4832396974191326,0.0,4.0,0.49988308218068345,3.1001169178193164
5000,5,13.2,0.8366600265340756,12.0,14.0,12.466635152192307,13.933364847807692,0.6599999999999999,0.04183300132670376,0.6,0.7,0.6233317576096153,0.6966682423903845,0.03816862675027782,0.012156469376114106,0.01842154574540094,0.050930866736757306,0.027513011528854665,0.04882424197170098,0.013569048859873516,0.0042330918776841185,0.009258503452607699,0.0198934518158026,0.009858580232019982,0.01727951748772705,0.1413821655504122,0.0,0.1413821655504122,0.1413821655504122,0.1413821655504122,0.1413821655504122,0.1899755690665733,0.016153060623068632,0.17390588511128813,0.20747819211527546,0.17581678716021354,0.2041343509729331,3.4,1.3416407864998738,1.0,4.0,2.224,4.576,2.0,0.7071067811865476,1.0,3.0,1.3801935786069977,2.6198064213930023
7341,1,15.0,0.0,15.0,15.0,15.0,15.0,0.75,0.0,0.75,0.75,0.75,0.75,0.05904187936007056,0.0,0.05904187936007056,0.05904187936007056,0.05904187936007056,0.05904187936007056,0.035022521924180094,0.0,0.035022521924180094,0.035022521924180094,0.035022521924180094,0.035022521924180094,0.1413821655504122,0.0,0.1413821655504122,0.1413821655504122,0.1413821655504122,0.1413821655504122,0.1332965341478096,0.0,0.1332965341478096,0.1332965341478096,0.1332965341478096,0.1332965341478096,3.0,0.0,3.0,3.0,3.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0
