training_sample_size,number_of_repeats,exact_probability_raising_count_mean,exact_probability_raising_count_std,exact_probability_raising_count_min,exact_probability_raising_count_max,exact_probability_raising_count_ci95_low,exact_probability_raising_count_ci95_high,exact_probability_raising_fraction_mean,exact_probability_raising_fraction_std,exact_probability_raising_fraction_min,exact_probability_raising_fraction_max,exact_probability_raising_fraction_ci95_low,exact_probability_raising_fraction_ci95_high,mean_exact_probability_difference_mean,mean_exact_probability_difference_std,mean_exact_probability_difference_min,mean_exact_probability_difference_max,mean_exact_probability_difference_ci95_low,mean_exact_probability_difference_ci95_high,median_exact_probability_difference_mean,median_exact_probability_difference_std,median_exact_probability_difference_min,median_exact_probability_difference_max,median_exact_probability_difference_ci95_low,median_exact_probability_difference_ci95_high,maximum_exact_probability_difference_mean,maximum_exact_probability_difference_std,maximum_exact_probability_difference_min,maximum_exact_probability_difference_max,maximum_exact_probability_difference_ci95_low,maximum_exact_probability_difference_ci95_high,mean_exact_candidate_reachability_mean,mean_exact_candidate_reachability_std,mean_exact_candidate_reachability_min,mean_exact_candidate_reachability_max,mean_exact_candidate_reachability_ci95_low,mean_exact_candidate_reachability_ci95_high,positive_empirical_negative_exact_count_mean,positive_empirical_negative_exact_count_std,positive_empirical_negative_exact_count_min,positive_empirical_negative_exact_count_max,positive_empirical_negative_exact_count_ci95_low,positive_empirical_negative_exact_count_ci95_high,negative_empirical_positive_exact_count_mean,negative_empirical_positive_exact_count_std,negative_empirical_positive_exact_count_min,negative_empirical_positive_exact_count_max,negative_empirical_positive_exact_count_ci95_low,negative_empirical_positive_exact_count_ci95_high
500,3,9.0,3.0,6.0,12.0,5.605180417165,12.394819582835,0.45,0.15,0.3,0.6,0.28025902085825005,0.61974097914175,0.014330630529301063,0.012810597411601754,0.001422348238208148,0.02704125569242723,-0.00016592512427260168,0.028827186182874727,-0.0017179147231345868,0.0097646786260416,-0.009439424438619365,0.009258503452607699,-0.01276768879639338,0.009331859350124207,0.14585497502774142,0.0038735666336548987,0.1413821655504122,0.14809137976640602,0.14147162173995878,0.15023832831552406,0.23408499255781937,0.033788270500488486,0.1985210318434179,0.2657612432140521,0.19584996510275787,0.27232002001288086,9.0,2.6457513110645907,7.0,12.0,6.006050545962184,11.993949454037816,1.6666666666666667,0.5773502691896257,1.0,2.0,1.0133333333333334,2.3200000000000003
1000,3,11.333333333333334,3.055050463303893,8.0,14.0,7.876218286875602,14.790448379791066,0.5666666666666667,0.15275252316519464,0.4,0.7,0.3938109143437801,0.7395224189895532,0.023709075107667094,0.01197644866482216,0.010503808252030348,0.03386853550269749,0.01015644762094831,0.03726170259438588,0.004258265844345583,0.012540670354305831,-0.01022245296540808,0.01149862524922243,-0.009932838589213008,0.01844937027790417,0.14135276014964895,0.006753370330979825,0.1345847351321287,0.14809137976640602,0.13371060219973321,0.1489949180995647,0.2041016841436648,0.023441764858771797,0.1890784088107608,0.23111312279365936,0.17757483001074087,0.23062853827658875,4.666666666666667,2.8867513459481287,3.0,8.0,1.4000000000000004,7.933333333333334,1.0,1.0,0.0,2.0,-0.13160652761166647,2.1316065276116665
2500,3,11.333333333333334,3.055050463303893,8.0,14.0,7.876218286875602,14.790448379791066,0.5666666666666667,0.15275252316519464,0.4,0.7,0.3938109143437801,0.7395224189895532,0.02720561688474507,0.025179257838147805,0.0035356935718239488,0.053662345638593435,-0.0012873956453202037,0.055698629414810345,0.010766735242217072,0.02063298106171646,-0.01022245296540808,0.0310240334428369,-0.012581680811309167,0.034115151295743315,0.1413821655504122,0.0,0.1413821655504122,0.1413821655504122,0.1413821655504122,0.1413821655504122,0.2209522880748144,0.051607793918577005,0.17034592020340206,0.2735063626618328,0.162552571600915,0.2793520045487138,4.0,2.6457513110645907,2.0,7.0,1.0060505459621845,6.993949454037816,1.3333333333333333,1.1547005383792517,0.0,2.0,0.026666666666666394,2.64
5000,3,13.666666666666666,0.5773502691896257,13.0,14.0,13.013333333333332,14.32,0.6833333333333332,0.028867513459481253,0.65,0.7,0.6506666666666666,0.7159999999999999,0.04270543287179277,0.0071332084240731805,0.03821943223876921,0.050930866736757285,0.03463344765629703,0.050777418087288514,0.01569603853251251,0.004197413283290099,0.0114986252492224,0.0198934518158026,0.010946218262057515,0.020445858802967502,0.1413821655504122,0.0,0.1413821655504122,0.1413821655504122,0.1413821655504122,0.1413821655504122,0.18949792270210097,0.01546648757497853,0.17577869262938697,0.20625952150767918,0.17199594440303054,0.2069999010011714,3.0,1.7320508075688772,1.0,4.0,1.04,4.96,2.3333333333333335,0.5773502691896258,2.0,3.0,1.6800000000000002,2.986666666666667
7341,1,15.0,0.0,15.0,15.0,15.0,15.0,0.75,0.0,0.75,0.75,0.75,0.75,0.05904187936007057,0.0,0.05904187936007057,0.05904187936007057,0.05904187936007057,0.05904187936007057,0.035022521924180094,0.0,0.035022521924180094,0.035022521924180094,0.035022521924180094,0.035022521924180094,0.1413821655504122,0.0,0.1413821655504122,0.1413821655504122,0.1413821655504122,0.1413821655504122,0.1332965341478096,0.0,0.1332965341478096,0.1332965341478096,0.1332965341478096,0.1332965341478096,3.0,0.0,3.0,3.0,3.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0
