training_sample_size,model,thresholds_are_analyst_selected,f1_gap_from_full,f1_within_0_05_of_full,roc_auc_gap_from_full,roc_auc_within_0_02_of_full,f1_standard_deviation,f1_standard_deviation_below_0_05,top10_overlap_fraction_mean,top10_overlap_at_least_0_70,top20_overlap_fraction_mean,top20_overlap_at_least_0_60,exact_probability_raising_count_mean,at_least_15_exact_probability_raising,exact_pass_count_standard_deviation,exact_pass_count_standard_deviation_below_2,all_operational_criteria_pass
500,Decision Tree,True,0.1616931865557618,False,0.0038441234926497314,True,0.043275080144860846,True,0.16666666666666666,False,0.2833333333333333,False,9.0,False,3.0,False,False
500,Logistic Regression,True,0.0847754937390876,False,0.010811323646395143,True,0.04504052983867672,True,0.16666666666666666,False,0.2833333333333333,False,9.0,False,3.0,False,False
500,Random Forest,True,0.0944445219428176,False,0.007053803619343768,True,0.047742736321158705,True,0.16666666666666666,False,0.2833333333333333,False,9.0,False,3.0,False,False
1000,Decision Tree,True,0.02686564183737078,True,0.007278340132678418,True,0.15874187153964467,False,0.20000000000000004,False,0.43333333333333335,False,11.333333333333334,False,3.055050463303893,False,False
1000,Logistic Regression,True,0.025593481892929704,True,0.0162352305817271,True,0.06489574218179675,False,0.20000000000000004,False,0.43333333333333335,False,11.333333333333334,False,3.055050463303893,False,False
1000,Random Forest,True,0.06518810313233053,False,2.5299888826380013e-05,True,0.05601660087992804,False,0.20000000000000004,False,0.43333333333333335,False,11.333333333333334,False,3.055050463303893,False,False
2500,Decision Tree,True,0.03735815522339106,True,0.010463693443193256,True,0.05619696416288861,False,0.39999999999999997,False,0.5833333333333334,False,11.333333333333334,False,3.055050463303893,False,False
2500,Logistic Regression,True,0.016485039344849794,True,0.014665664401839973,True,0.025813712174992683,True,0.39999999999999997,False,0.5833333333333334,False,11.333333333333334,False,3.055050463303893,False,False
2500,Random Forest,True,0.006417293212865993,True,0.013349583646541152,True,0.03349572871086674,True,0.39999999999999997,False,0.5833333333333334,False,11.333333333333334,False,3.055050463303893,False,False
5000,Decision Tree,True,0.03192100991686081,True,0.004915963013508662,True,0.04483970483368231,True,0.5666666666666668,False,0.7666666666666666,True,13.666666666666666,False,0.5773502691896257,True,False
5000,Logistic Regression,True,0.02159998677780417,True,0.010107305586166848,True,0.03584914993801226,True,0.5666666666666668,False,0.7666666666666666,True,13.666666666666666,False,0.5773502691896257,True,False
5000,Random Forest,True,0.0160982788252243,True,5.789782250664732e-05,True,0.004578409544522114,True,0.5666666666666668,False,0.7666666666666666,True,13.666666666666666,False,0.5773502691896257,True,False
7341,Decision Tree,True,0.0,True,0.0,True,0.0,True,1.0,True,1.0,True,15.0,True,0.0,True,True
7341,Logistic Regression,True,0.0,True,0.0,True,0.0,True,1.0,True,1.0,True,15.0,True,0.0,True,True
7341,Random Forest,True,0.0,True,0.0,True,0.0,True,1.0,True,1.0,True,15.0,True,0.0,True,True
